Region,Country,Name,Style,Substyle,IBU,Rating,ABV,Price,Volume_Per_Container,Bottles_Per_Unit
CANADA,CANADA,MAD & NOISY - HOPS & BOLTS INDIA PALE LAGER,LAGER,INDIA PALE LAGER,60,3.43,5.3,12.99,0.341,6
CANADA,CANADA,VANCOUVER ISLAND - DOUGH HEAD GINGERBREAD ALE,SPECIALTY,HERB,NA,3.38,5.2,5.5,0.65,1
CANADA,CANADA,OKANAGAN SPRING - PALE ALE CAN,PALE ALE,AMERICAN PALE ALE,NA,3.22,5,22.95,0.355,12
CANADA,CANADA,MCAUSLAN - ST AMBROISE APRICOT WHEAT ALE,SPECIALTY,FRUIT BEER,15,3.51,5,12.45,0.341,6
CANADA,CANADA,PACIFIC WESTERN - PACIFIC PILSNER CAN,LAGER,AMERICAN ADJUNCT,NA,2.71,5,19.9,0.355,15
CANADA,CANADA,CREEMORE SPRINGS - PREMIUM LAGER,LAGER,PILSNER,24,3.45,5,12.99,0.341,6
CANADA,CANADA,DRIFTWOOD - PALE ALE,PALE ALE,AMERICAN PALE ALE,NA,3.65,5,5.25,0.65,1
CANADA,CANADA,PACIFIC WESTERN - SCANDAL ALE ORGANIC,LAGER,AMBER LAGER,17,3.43,5,12.49,0.341,6
CANADA,CANADA,PHILLIPS - ANALOGUE 78 KOLSCH,PALE ALE,KOLSCH,NA,3.47,5,11.99,0.341,6
USA,UNITED STATES OF AMERICA,LAGUNITAS - IMPERIAL RED ALE,STRONG ALE,IMPERIAL RED ALE,54,3.86,7.8,6.05,0.65,1
CANADA,CANADA,LABATT - LUCKY LAGER,LAGER,AMERICAN ADJUNCT,NA,2.42,5,23.49,0.341,12
CANADA,CANADA,COLUMBIA - KOOTENAY TRUE ALE CAN,RED ALE,AMERICAN AMBER,NA,2.94,5,8.15,0.355,6
CANADA,CANADA,SLEEMAN - SILVER CREEK LAGER,LAGER,PALE LAGER,NA,3.03,5,12.99,0.341,6
CANADA,CANADA,COLUMBIA - KOKANEE,LAGER,AMERICAN ADJUNCT,NA,2.8,5,34.69,0.341,18
CANADA,CANADA,R & B - EAST SIDE BITTER,PALE ALE,ESB,30,3.59,5.5,12.25,0.341,6
CANADA,CANADA,DOUBLE TROUBLE - HOPS AND ROBBERS IPA,IPA,AMERICAN IPA,50,3.51,5.7,5.23,0.65,1
CANADA,CANADA,BOWEN ISLAND - MUTINY RED ALE CAN,RED ALE,AMERICAN AMBER,NA`,3.18,5,8.95,0.355,6
EUROPE,UNITED KINGDOM,WELLS BANANA BREAD,SPECIALTY,FRUIT BEER,18,3.57,5.2,3.55,0.5,1
USA,UNITED STATES OF AMERICA,OMMEGANG GAME OF THRONES FIRE & BLOOD,RED ALE,AMERICAN AMBER,NA,3.56,6.8,8.95,0.75,1
EUROPE,FRANCE,KRONENBOURG 1664 BLANC TALL CAN,WHEAT,BELGIAN WITBIER,7,3.51,5,2.65,0.5,1
CANADA,CANADA,PARALLEL 49 - WILD RIDE 2ND ANNIVERSARY BELGIAN STRONG ALE,STRONG ALE,BELGIAN STRONG PALE,27,3.49,9,6.5,0.65,1
USA,UNITED STATES OF AMERICA,NOLI BREWHOUSE - BORN AND RAISED IPA,IPA,AMERICAN IPA,85,3.67,7,5.99,0.65,1
CANADA,CANADA,BAD TATTOO - WESTCOAST IPA,IPA,AMERICAN IPA,65,3.59,6.2,5.95,0.65,1
CANADA,CANADA,TREE - CUTTHROAT PALE ALE TALL CAN,PALE ALE,AMERICAN PALE ALE,36,3.38,5,2.25,0.5,1
CANADA,CANADA,SHAFTEBURY - COASTAL CREAM ALE TALL CAN,HYBRID,CREAM ALE,16,3.09,5,1.99,0.5,1
CANADA,CANADA,TREE - MELLOW MOON,WHEAT,HEFEWEIZEN,20,3.48,5,11.5,0.33,6
EUROPE,UNITED KINGDOM,DUCHY ORIGINALS ORGANIC OLD RUBY ALE,RED ALE,OTHER,NA,3.39,5,3.55,0.5,1
CANADA,CANADA,STEAMWORKS - PUMPKIN ALE,SPECIALTY,PUMPKIN,25,3.44,6.5,5.5,0.65,1
